abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,"['R.G.J. Bellerby', 'S.J. McCue', 'G. Eischeid', 'D.W. O’Sullivan', 'F.J. Millero', 'C. Goyet']",10.1016/S0967-0637(97)00085-X,https://doi.org/10.1016/S0967-0637(97)00085-X,4,1998,Temporal variations of pCO2 in surface seawater of the Arabian Sea in 1995,Deep Sea Research Part I: Oceanographic Research Papers,,,Oceanography
,"['J. L. Sarmiento', 'S. A. Müller', 'A. Mouchet', 'D. Menemenlis', 'K. Lindsay', 'F. Joos', 'M. Follows', 'M. Gerber', 'S. Dutkiewicz', 'S. C. Doney', 'A. R. Jacobson', 'N. Gruber', 'S. E. Mikaloff Fletcher']",10.1029/2005GB002530,https://doi.org/10.1029/2005GB002530,4,2006,"Inverse estimates of anthropogenic CO2uptake, transport, and storage by the ocean: AIR-SEA EXCHANGE OF ANTHROPOGENIC CARBON",Global Biogeochemical Cycles,,,Oceanography
,"['Christopher L. Sabine', 'A. Christine Pequignet', 'Nicholas R. Bates']",10.1029/2005GB002491,https://doi.org/10.1029/2005GB002491,9,2006,"Ocean carbon cycling in the Indian Ocean: 1. Spatiotemporal variability of inorganic carbon and air-sea CO2gas exchange: INDIAN OCEAN CARBON CYCLE, 1",Global Biogeochemical Cycles,,,Oceanography
,"['Jinro Ukita', 'Taro Takahashi', 'Takakiyo Nakazawa', 'Misa Ishizawa', 'Shamil Maksyutov', 'Prabir K. Patra']",10.1029/2004GB002257,https://doi.org/10.1029/2004GB002257,11,2005,Interannual and decadal changes in the sea-air CO2flux from atmospheric CO2inverse modeling: OCEAN CO2FLUXES AND CLIMATE VARIABILITY,Global Biogeochemical Cycles,,,Oceanography
,"['Hein J.W. de Baar', 'N.R. Bates', 'Bruno Delille', 'C.S. Wong', 'Richard Bellerby', 'Are Olsen', 'Truls Johannessen', 'Bronte Tilbrook', 'Thorarinn S. Arnarson', 'Jon Olafsson', 'Mario Hoppema', 'Tobias Steinhoff', 'Arne Körtzinger', 'Yukihiro Nojiri', 'Takashi Midorikawa', 'Masao Ishii', 'Hisayuki Yoshikawa-Inoue', 'Nicolas Metzl', 'Ute Schuster', 'Dorothee C.E. Bakker', 'Andrew Watson', 'Christopher Sabine', 'Francisco Chavez', 'Gernot Friederich', 'Burke Hales', 'David W. Chipman', 'Richard A. Feely', 'Colm Sweeney', 'Rik Wanninkhof', 'Stewart C. Sutherland', 'Taro Takahashi']",10.1016/j.dsr2.2008.12.009,https://doi.org/10.1016/j.dsr2.2008.12.009,4,2009,"Climatological mean and decadal change in surface ocean pCO2, and net sea–air CO2 flux over the global oceans",Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['Shamil Maksyutov', 'Vinu Valsala']",10.1007/s10236-012-0588-7,https://doi.org/10.1007/s10236-012-0588-7,1,2013,Interannual variability of the air–sea CO2 flux in the north Indian Ocean,Ocean Dynamics,,,Oceanography
,"['V. Valsala', 'M. Ramonet', 'E. Dlugokencky', 'I. D. Lima', 'S. Doney', 'P. K. Patra', 'N. Metzl', 'R. M. Law', 'A. Lenton', 'V. V. S. S. Sarma']",10.5194/bg-10-7035-2013,https://doi.org/10.5194/bg-10-7035-2013,11,2013,Sea–air CO&lt;sub&gt;2&lt;/sub&gt; fluxes in the Indian Ocean between 1990 and 2009,Biogeosciences,,,Oceanography
,"['H. W. Bange', 'R. A. Schmitz', 'C. R. Löscher', 'A. Kock', 'D. L. Arévalo-Martínez']",10.1038/ngeo2469,https://doi.org/10.1038/ngeo2469,6,2015,Massive nitrous oxide emissions from the tropical South Pacific Ocean,Nature Geoscience,,,Oceanography
,"['J. Forja', 'A. Gómez-Parra', 'T. Ortega', 'D. Jiménez-López', 'A. Sierra']",10.1016/j.marchem.2020.103867,https://doi.org/10.1016/j.marchem.2020.103867,10,2020,"Factors controlling the variability and emissions of greenhouse gases (CO2, CH4 and N2O) in three estuaries of the Southern Iberian Atlantic Basin during July 2017",Marine Chemistry,,,Oceanography
,"['F.F. Pérez', 'A.F. Ríos', 'S. Flecha', 'I.E. Huertas', 'M. de la Paz']",10.1016/j.pocean.2015.09.009,https://doi.org/10.1016/j.pocean.2015.09.009,11,2015,Nitrous oxide and methane in Atlantic and Mediterranean waters in the Strait of Gibraltar: Air-sea fluxes and inter-basin exchange,Progress in Oceanography,,,Oceanography
,"['Jorge E Corredor', 'Jorge Bauzá', 'Aurelio Mercado', 'Jorge Capella', 'Julio M Morell']",10.1016/S0304-4203(01)00011-1,https://doi.org/10.1016/S0304-4203(01)00011-1,5,2001,Nitrous oxide fluxes in Caribbean and tropical Atlantic waters: evidence for near surface production,Marine Chemistry,,,Oceanography
,"['Sumei Liu', 'Jianbing Li', 'Jingling Ren', 'Jing Zhang', 'Guiling Zhang']",10.1016/j.marchem.2008.02.005,https://doi.org/10.1016/j.marchem.2008.02.005,5,2008,Distributions and sea-to-air fluxes of methane and nitrous oxide in the North East China Sea in summer,Marine Chemistry,,,Oceanography
,"['Naohiro Yoshida', 'Narin Boontanon', 'Juan Faúndez', 'José Charpentier', 'Marcela Cornejo', 'Maribeb Castro-González', 'Laura Farías']",10.4319/lo.2009.54.1.0132,https://doi.org/10.4319/lo.2009.54.1.0132,1,2009,Denitrification and nitrous oxide cycling within the upper oxycline of the eastern tropical South Pacific oxygen minimum zone,Limnology and Oceanography,,,Oceanography
,"['Su-Mei Liu', 'Yu-Chuan Zhao', 'Gui-Ling Zhang', 'Yu Han']",10.1016/j.ecss.2013.08.001,https://doi.org/10.1016/j.ecss.2013.08.001,11,2013,Distributions and sea-to-air fluxes of nitrous oxide in the coastal and shelf waters of the northwestern South China Sea,"Estuarine, Coastal and Shelf Science",,,Oceanography
,"['Ting-Yu Chen', 'Chao-Ming Lai', 'T. Angel DelValls', 'Alberto V. Borges', 'Chen-Tung Arthur Chen', 'Hsiao-Chun Tseng']",10.1016/j.dsr.2016.06.006,https://doi.org/10.1016/j.dsr.2016.06.006,9,2016,Distributions and sea-to-air fluxes of nitrous oxide in the South China Sea and the West Philippines Sea,Deep Sea Research Part I: Oceanographic Research Papers,,,Oceanography
,"['J. Forja', 'A. Gómez-Parra', 'R. Sánchez-Leal', 'M.J. Bellanco', 'R. Ponce', 'T. Ortega', 'D. Jiménez-López', 'A. Sierra']",10.1016/j.scitotenv.2017.03.189,https://doi.org/10.1016/j.scitotenv.2017.03.189,9,2017,Distribution of N 2 O in the eastern shelf of the Gulf of Cadiz (SW Iberian Peninsula),Science of The Total Environment,,,Oceanography
,"['Ray F. Weiss', 'Timothy J. Lueker', 'Cynthia D. Nevison']",10.1029/2003GB002110,https://doi.org/10.1029/2003GB002110,1,2004,Quantifying the nitrous oxide source from coastal upwelling: N2O FROM COASTAL UPWELLING,Global Biogeochemical Cycles,,,Oceanography
,"['R. C. Upstill-Goddard', 'T. Rixen', 'P. K. Patra', 'S. W. A. Naqvi', 'C. S. Law', 'S. Lal', 'M. O. Andreae', 'H. W. Bange']",10.5194/acp-1-61-2001,https://doi.org/10.5194/acp-1-61-2001,12,2001,Nitrous oxide emissions from the Arabian Sea: A synthesis,Atmospheric Chemistry and Physics,,,Oceanography
,"['Meinrat O. Andreae', 'Spyridon Rapsomanikis', 'Hermann W. Bange']",10.1029/1999JC000284,https://doi.org/10.1029/1999JC000284,1,2001,Nitrous oxide cycling in the Arabian Sea,Journal of Geophysical Research: Oceans,,,Oceanography
,"['M. O. Andreae', 'M. R. Hoffmann', 'V. Ittekkot', 'R. Ramesh', 'R. L. Siefert', 'A. M. Johansen', 'T. Rixen', 'H. W. Bange']",10.1029/1999GB001228,https://doi.org/10.1029/1999GB001228,12,2000,A revised nitrogen budget for the Arabian Sea,Global Biogeochemical Cycles,,,Oceanography
,"['M. D. George', 'S. Joseph', ""W. D'Souza"", 'V. V. S. S. Sarma', 'H. Naik', 'P. V. Narvekar', 'D. A. Jayakumar', 'S. W. A. Naqvi']",10.1038/35042551,https://doi.org/10.1038/35042551,11,2000,Increased marine production of N2O due to intensifying anoxia on the Indian continental shelf,Nature,,,Oceanography
,"['Prabir K. Patra', 'Shyam Lal']",10.1029/98GB00444,https://doi.org/10.1029/98GB00444,6,1998,Variabilities in the fluxes and annual emissions of nitrous oxide from the Arabian Sea,Global Biogeochemical Cycles,,,Oceanography
,"['Meinrat O. Andreae', 'Spyridon Rapsomanikis', 'Hermann W. Bange']",10.1029/96GL03072,https://doi.org/10.1029/96GL03072,11,1996,Nitrous oxide emissions from the Arabian Sea,Geophysical Research Letters,,,Oceanography
,"['M.D. George', 'M.D. Kumar', 'M. Nair', 'D.A. Jayakumar', 'S.W.A. Naqvi']",10.1016/0304-4203(94)90025-6,https://doi.org/10.1016/0304-4203(94)90025-6,11,1994,Nitrous oxide in the western Bay of Bengal,Marine Chemistry,,,Oceanography
,"['R.J. Noronha', 'S.W.A. Naqvi']",10.1016/0198-0149(91)90023-9,https://doi.org/10.1016/0198-0149(91)90023-9,7,1991,Nitrous oxide in the Arabian Sea,Deep Sea Research Part A. Oceanographic Research Papers,,,Oceanography
,"['N. J. P. Owens', 'C. S. Law']",10.1038/346826a0,https://doi.org/10.1038/346826a0,8,1990,Significant flux of atmospheric nitrous oxide from the northwest Indian Ocean,Nature,,,Oceanography
,"['P. Amol', 'Arga Chandrashekar Anil', 'Suchandan Bemal']",10.1016/j.jmarsys.2019.103221,https://doi.org/10.1016/j.jmarsys.2019.103221,11,2019,Picophytoplankton variability: Influence of Rossby wave propagation in the southeastern Arabian Sea,Journal of Marine Systems,,,Oceanography
,"['Rajdeep Roy', 'R. Remya', 'D. Shankar', 'Arga Chandrashekar Anil', 'Suchandan Bemal']",10.1016/j.jmarsys.2017.12.007,https://doi.org/10.1016/j.jmarsys.2017.12.007,4,2018,Picophytoplankton variability: Influence of winter convective mixing and advection in the northeastern Arabian Sea,Journal of Marine Systems,,,Oceanography
,"['Jun Sun', 'Xiaodong Zhang', 'Changling Ding', 'Jing Wang', 'Ju Chen', 'Guicheng Zhang', 'Yuqiu Wei']",10.1002/ece3.5107,https://doi.org/10.1002/ece3.5107,4,2019,Dynamic responses of picophytoplankton to physicochemical variation in the eastern Indian Ocean,Ecology and Evolution,,,Oceanography
,"['V.V. Gopalakrishna', 'V. Trinadha Rao', 'Rajath Chitari', 'Dhiraj Dhondiram Narale', 'Arga Chandrashekar Anil', 'Smita Mitbavkar']",10.1016/j.rsma.2020.101528,https://doi.org/10.1016/j.rsma.2020.101528,11,2020,Environmental influence on the picophytoplankton community structure in the central and northern Bay of Bengal,Regional Studies in Marine Science,,,Oceanography
,"['Jun Sun', 'Jiang Gui', 'Yuying Zhao', 'Yuqiu Wei']",10.1016/j.ecolind.2021.107459,https://doi.org/10.1016/j.ecolind.2021.107459,6,2021,Phosphorus enrichment masked the negative effects of ocean acidification on picophytoplankton and photosynthetic performance in the oligotrophic Indian Ocean,Ecological Indicators,,,Oceanography
,"['S.W.A. Naqvi', 'Hema Naik', 'Bhagyashri Naik', 'Amara Mulla', 'A.V. Chndrasekhararao', 'Mangesh Gauns', 'Siby Kurian', 'Ayaz Ahmed']",10.1016/j.csr.2016.03.005,http://dx.doi.org/10.1016/j.csr.2016.03.005,5,2016,Spatial variability in phytoplankton community structure along the eastern Arabian Sea during the onset of south-west monsoon,Continental Shelf Research,,,Oceanography
,"['Lidia Yebra', 'Soluna Salles', 'Sebastien Putzeys', 'Francisco Gómez', 'Dolores Cortés', 'Jesús M. Mercado', 'Pablo León', 'Ana L. Amorim']",10.1016/j.seares.2016.02.005,https://doi.org/10.1016/j.seares.2016.02.005,6,2016,"Controls of picophytoplankton abundance and composition in a highly dynamic marine system, the Northern Alboran Sea (Western Mediterranean)",Journal of Sea Research,,,Oceanography
,"['Laurent Seuront', 'Jim G. Mitchell', 'John F. Middleton', 'Justin R. Seymour', 'Virginie van Dongen-Vogels']",10.1016/j.ecss.2012.05.026,https://doi.org/10.1016/j.ecss.2012.05.026,8,2012,Shifts in picophytoplankton community structure influenced by changing upwelling conditions,"Estuarine, Coastal and Shelf Science",,,Oceanography
,"['O. Kefi-Daly Yahia', 'N. Daly Yahia', 'A. Bellaaj-Zouari', 'E. Sehli', 'M. Laabir', 'J.C. Molinero', 'H. Zmerli Triki', 'N. Salhi']",10.1016/j.marpolbul.2017.10.029,https://doi.org/10.1016/j.marpolbul.2017.10.029,4,2018,"Seasonal variability of picophytoplankton under contrasting environments in northern Tunisian coasts, southwestern Mediterranean Sea",Marine Pollution Bulletin,,,Oceanography
,Noga Stambler,10.1016/j.seares.2013.04.016,https://doi.org/10.1016/j.seares.2013.04.016,1,2014,Relationships between picophytoplankton and optical properties in the Azores Front region in the Atlantic Ocean,Journal of Sea Research,,,Oceanography
,"['Shuibo Hu', 'Yu Zhang', 'Kai Zeng', 'Yuezhong Yang', 'Cai Li', 'Zhantang Xu', 'Guifeng Wang', 'Lin Deng', 'Wenxi Cao', 'Wen Zhou', 'Wendi Zheng']",10.1016/j.csr.2020.104294,https://doi.org/10.1016/j.csr.2020.104294,1,2021,Estimation of cell abundances of picophytoplankton based on the absorption coefficient of phytoplankton in the South China sea,Continental Shelf Research,,,Oceanography
,"['A. Jayakumar', 'Q. Ji', 'A. Macías‐Tapia', 'B. Widner', 'P. W. Bernhardt', 'M. R. Mulholland', 'C. R. Selden']",10.1029/2019GB006242,https://doi.org/10.1029/2019GB006242,9,2019,Dinitrogen Fixation Across Physico‐Chemical Gradients of the Eastern Tropical North Pacific Oxygen Deficient Zone,Global Biogeochemical Cycles,,,Oceanography
,"['Bess B Ward', 'Margaret R Mulholland', 'Peter Bernhardt', 'Brittany Widner', 'Bonnie X Chang', 'Amal Jayakumar']",10.1038/ismej.2017.97,https://doi.org/10.1038/ismej.2017.97,7,2017,Biological nitrogen fixation in the oxygen-minimum region of the eastern tropical North Pacific ocean,The ISME Journal,,,Oceanography
,"['Douglas G. Capone', 'Jonathan P. Zehr', 'Olivier Grosso', 'Robert M. Hamersley', 'Thierry Moutin', 'Kendra A. Turk-Kubo', 'Julien Dekaezemacker', 'Sophie Bonnet']",10.1371/journal.pone.0081265,https://doi.org/10.1371/journal.pone.0081265,12,2013,Aphotic N2 Fixation in the Eastern Tropical South Pacific Ocean,PLoS ONE,,,Oceanography
,"['Ken Furuya', 'Koji Hamasaki', 'Hiroaki Saito', 'Shigenobu Takeda', 'Iwao Tanita', 'Taketoshi Kodama', 'Fuminori Hashihama', 'Mitsuhide Sato', 'Lasse Riemann', 'Deniz Bombar', 'Takuhei Shiozaki']",10.1029/2017GB005869,https://doi.org/10.1029/2017GB005869,7,2018,Linkage Between Dinitrogen Fixation and Primary Production in the Oligotrophic South Pacific Ocean,Global Biogeochemical Cycles,,,Oceanography
,"['Sophie Bonnet', 'Alain de Verneil', 'Anne Alexandra Petrenko', 'Audrey Gimenez', 'Nathalie Leblond', 'Sandra Helias-Nunige', 'Olivier Grosso', 'Hugo Berthelot', 'Andrea Michelangelo Doglioli', 'Pascale Bouruet-Aubertot', 'Rachel Ann Foster', 'Thierry Moutin', 'Mathieu Caffin']",10.5194/bg-2017-468,https://doi.org/10.5194/bg-2017-468,11,2017,Nitrogen budgets following a Lagrangian strategy in the Western Tropical South Pacific Ocean: the prominent role of N&lt;sub&gt;2&lt;/sub&gt; fixation (OUTPACE cruise),,,,Oceanography
,"['Douglas G. Capone', 'Lia O. Slemons', 'Pierre Dutrieux', 'Isabelle C. Biegala', 'Sophie Bonnet']",10.1029/2008GB003439,https://doi.org/10.1029/2008GB003439,8,2009,"Nitrogen fixation in the western equatorial Pacific: Rates, diazotrophic cyanobacterial size class distribution, and biogeochemical significance: N2FIXATION IN THE EQUATORIAL PACIFIC",Global Biogeochemical Cycles,,,Oceanography
,"['Sophie Bonnet', 'Aude Barani', 'Véronique Cornet-Barthaux', 'Hugo Berthelot', 'Mathieu Caffin']",10.5194/bg-15-3795-2018,https://doi.org/10.5194/bg-15-3795-2018,6,2018,Transfer of diazotroph-derived nitrogen to the planktonic food web across gradients of N&lt;sub&gt;2&lt;/sub&gt; fixation activity and diversity in the western tropical South Pacific Ocean,Biogeosciences,,,Oceanography
,"['Jonathan P. Zehr', 'David M. Karl', 'John N. Kemp', 'Kendra A. Turk-Kubo', 'Ariel Rabines', 'Julie C. Robidart', 'Samuel T. Wilson', 'Craig D. Taylor', 'Deniz Bombar']",10.1093/plankt/fbv049,https://doi.org/10.1093/plankt/fbv049,6,2015,Measurements of nitrogen fixation in the oligotrophic North Pacific Subtropical Gyre using a free-drifting submersible incubation device,Journal of Plankton Research,,,Oceanography
,"['Sophie Bonnet', 'Cécile Dupouy', 'Ilana Berman-Frank', 'Hila Elifantz', 'Chloé Martias', 'Mar Benavides']",10.3389/fmars.2018.00089,https://doi.org/10.3389/fmars.2018.00089,3,2018,Dissolved Organic Matter Influences N2 Fixation in the New Caledonian Lagoon (Western Tropical South Pacific),Frontiers in Marine Science,,,Oceanography
,"['Yao Zhang', 'Shuh‐Ji Kao', 'Jiwei Tian', 'Nianzhi Jiao', 'Yangyang Lu', 'Mingming Chen']",10.1002/lno.11123,https://doi.org/10.1002/lno.11123,1,2019,Biogeographic drivers of diazotrophs in the western Pacific Ocean,Limnology and Oceanography,,,Oceanography
,"['Matthew J Church', 'Jonathan P Zehr', 'Ricardo M Letelier', 'Roger Lukas', 'David M Karl', 'Allison A Fong']",10.1038/ismej.2008.22,https://doi.org/10.1038/ismej.2008.22,2,2008,Nitrogen fixation in an anticyclonic eddy in the oligotrophic North Pacific Ocean,The ISME Journal,,,Oceanography
,"['A. M. Waite', 'Sarah-Sophie Weil', 'Bradley D. Eyre', 'Dirk V. Erler', 'Bronwyn H. Holmes', 'Jessica Riekenberg', 'Allison A. Fong', 'Levente Bodrossy', 'Jodie van de Kamp', 'Eric J. Raes']",10.3389/fmars.2020.00389,https://doi.org/10.3389/fmars.2020.00389,5,2020,N2 Fixation and New Insights Into Nitrification From the Ice-Edge to the Equator in the South Pacific Ocean,Frontiers in Marine Science,,,Oceanography
,"[' Christian Begler', ' Regine Koppe', ' Klaus Gocke', 'Hans-Georg Hoppe']",,,3,2002,Bacterial growth and primary production along a north-south transect of the Atlantic Ocean,,,,Oceanography
,"['Stuart C. Painter', 'Gillian Damerell', 'Andrew F. Thompson', 'Eleanor Frajka-Williams', 'Adrian P. Martin', 'Timothy J. Smyth', 'Victoria S. Hemsley']",10.1021/acs.est.5b00608,https://doi.org/10.1021/acs.est.5b00608,9,2015,Estimating Oceanic Primary Production Using Vertical Irradiance and Chlorophyll Profiles from Ocean Gliders in the North Atlantic,Environmental Science & Technology,,,Oceanography
,"['Kimberly H. Halsey', 'Toby K. Westberry', 'W. Bryce Penta', 'Nerissa L. Fisher', 'Lee Karp-Boss', 'Emmanuel Boss', 'Sasha J. Kramer', 'Alison Chase', 'Nils Haëntjens', 'Michael J. Behrenfeld', 'James Fox']",10.3389/fmars.2020.00024,https://doi.org/10.3389/fmars.2020.00024,2,2020,Phytoplankton Growth and Productivity in the Western North Atlantic: Observations of Regional Variability From the NAAMES Field Campaigns,Frontiers in Marine Science,,,Oceanography
,"['D. Marie', 'G. Alarcón', 'Y. Huot', 'H. Claustre', 'O. Ulloa', 'C. Grob']",10.5194/bgd-4-1461-2007,https://doi.org/10.5194/bgd-4-1461-2007,5,2007,Contribution of picoplankton to the total particulate organic carbon (POC) concentration in the eastern South Pacific,,,,Oceanography
,"['Tian Xiao', 'Haidong Yue', 'Jianwei Wei', 'Sanjun Zhao']",10.1007/s00343-010-9274-0,https://doi.org/10.1007/s00343-010-9274-0,1,2010,"Picophytoplankton abundance and community structure in the Philippine Sea, western Pacific",Chinese Journal of Oceanology and Limnology,,,Oceanography
,"['Marcel M. M. Kuypers', 'Thorsten Dittmar', 'Helena Osterholz', 'Nina Bartlau', 'Bernhard Tschitschko', 'Clara Martínez-Pérez', 'Sten Littmann', 'Gaute Lavik', 'Oliver Zielinski', 'Daniela Voß', 'Peter L. Croot', 'Dhwani Desai', 'Julie LaRoche', 'Timothy G. Ferdelman', 'Wiebke Mohr', 'Julia Duerschlag']",10.1038/s41396-021-01072-z,https://doi.org/10.1038/s41396-021-01072-z,8,2021,Niche partitioning by photosynthetic plankton as a driver of CO2-fixation across the oligotrophic South Pacific Subtropical Ocean,The ISME Journal,,,Oceanography
,"['Martine Rodier', 'Jean Blanchot']",10.1016/0967-0637(96)00026-X,https://doi.org/10.1016/0967-0637(96)00026-X,6,1996,Picophytoplankton abundance and biomass in the western tropical Pacific Ocean during the 1992 El Niño year: results from flow cytometry,Deep Sea Research Part I: Oceanographic Research Papers,,,Oceanography
,"['Richard J. Geider', 'Julie La Roche', 'Eric P. Achterberg', 'Angela Milne', 'Rebecca Langlois', 'Matthew M. Mills', 'C. Mark Moore']",10.4319/lo.2008.53.1.0291,https://doi.org/10.4319/lo.2008.53.1.0291,1,2008,Relative influence of nitrogen and phosphorous availability on phytoplankton physiology and productivity in the oligotrophic sub-tropical North Atlantic Ocean,Limnology and Oceanography,,,Oceanography
,"['K. Hyde', 'A. Mannino', 'S. Clayton', 'P. D. Chappell', 'C. R. Selden', 'B. N. Widner', 'P. W. Bernhardt', 'M. R. Mulholland']",10.1029/2018GB006130,https://doi.org/10.1029/2018GB006130,7,2019,"High Rates of N            2            Fixation in Temperate, Western North Atlantic Coastal Waters Expand the Realm of Marine Diazotrophy",Global Biogeochemical Cycles,,,Oceanography
,"['Angelicque E. White', 'Katie S. Watkins‐Brandt', 'Pia H. Moisander', 'Julie Granger', 'Afonso Gonçalves Neto', 'Mar Benavides', 'Elana J. Ames', 'Jaime B. Palter']",10.1029/2020GL089103,https://doi.org/10.1029/2020GL089103,8,2020,High N            2            Fixation in and Near the Gulf Stream Consistent with a Circulation Control on Diazotrophy,Geophysical Research Letters,,,Oceanography
,"['Frank Dehairs', 'Lei Chou', 'Julie LaRoche', 'Marc Elskens', 'Géraldine Sarthou', 'Frédéric Planchon', 'Hélène Planquette', 'Morgane Gallinari', 'Manon Tonnard', 'Nolwenn Lemaitre', 'Natacha Brion', 'Sophie Guasco', 'François Fripiat', 'Florian Deman', 'Valérie Michotey', 'Virginie Riou', 'Xuefeng Li', 'Debany Fonseca-Batista']",10.5194/bg-16-999-2019,https://doi.org/10.5194/bg-16-999-2019,3,2019,Evidence of high N&lt;sub&gt;2&lt;/sub&gt; fixation rates in the temperate northeast Atlantic,Biogeosciences,,,Oceanography
,"['Marta M. Varela', 'Antonio Bode', 'Ana Fernández-Carrera', 'Emilio Marañón', 'Beatriz Mouriño-Carballido', 'Víctor Moreira-Coello']",10.3389/fmars.2017.00303,https://doi.org/10.3389/fmars.2017.00303,9,2017,"Biological N2 Fixation in the Upwelling Region off NW Iberia: Magnitude, Relevance, and Players",Frontiers in Marine Science,,,Oceanography
,"['David M. Karl', 'Edward A. Boyle', 'William Sunda', 'Jingfeng Wu']",10.1126/science.289.5480.759,https://doi.org/10.1126/science.289.5480.759,8,2000,Phosphate Depletion in the Western North Atlantic Ocean,Science,,,Oceanography
,"['N. Garcia', 'P. Raimbault']",10.5194/bg-5-323-2008,https://doi.org/10.5194/bg-5-323-2008,3,2008,Evidence for efficient regenerated production and dinitrogen fixation in nitrogen-deficient waters of the South Pacific Ocean: impact on new and export production estimates,Biogeosciences,,,Oceanography
,"['Marcel MM Kuypers', ""Steven D'Hondt"", 'Julie LaRoche', 'Thorsten Dittmar', 'Gaute Lavik', 'Timothy G Ferdelman', 'Phyllis Lam', 'Hannah Halm']",10.1038/ismej.2011.182,https://doi.org/10.1038/ismej.2011.182,12,2011,Heterotrophic organisms dominate nitrogen fixation in the South Pacific Gyre,The ISME Journal,,,Oceanography
